GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account,com.bootcamp.second.account.controller,AccountController,42,7,0,0,10,2,5,2,5,2
account,com.bootcamp.second.account.business.impl,AccountServiceImpl,160,3,0,0,36,1,16,1,16,1
account,com.bootcamp.second.account.model,Account,76,0,0,0,4,0,16,0,16,0
account,com.bootcamp.second.account.model,Client,106,0,0,0,4,0,22,0,22,0
account,com.bootcamp.second.account.model,AccountDTO,76,0,0,0,4,0,16,0,16,0
account,com.bootcamp.second.account.utils,ConversionUtils,48,0,0,0,15,0,5,0,5,0
account,com.bootcamp.second.account.utils,Constants,24,0,0,0,3,0,1,0,1,0
account,com.bootcamp.second.account,AccountApplication,5,3,0,0,2,1,1,1,1,1
